"","lon","lat","cor_ano_sif","p_value_ano_sif"
"1",-70.5,-9.5,0.780234752396036,0.0223535254134324
"2",-68,-10,-0.874229202435777,0.0045163402751053
"3",-67,-10,-0.997375468557879,0.046133461453494
"4",-66.5,-2.5,-0.624870973945075,0.0976278536551408
"5",-64,-12,-0.641848406019759,0.0862114530743022
"6",-62.5,-10.5,-0.625692505598395,0.0970565162970331
"7",-62.5,4,-0.625723665769054,0.0970348837766384
"8",-62,-10,-0.649095804131402,0.0815869182417563
"9",-62,-9,-0.667853739862901,0.0703026471090353
"10",-61,-13,0.65507297653016,0.0778842781762936
"11",-61,3,0.702906239855433,0.0518177060261087
"12",-61,4.5,0.74783618668815,0.0328868258856654
"13",-60.5,-2.5,-0.776691632709721,0.0692321228349123
"14",-60,3,-0.771745879757422,0.024872899394951
"15",-59,-14,0.819332076491804,0.0128174137003845
"16",-58.5,-15.5,-0.635209740678058,0.0905780099961954
"17",-58.5,-9.5,-0.780938457461009,0.0221521322970699
"18",-58.5,-4,-0.683893145930301,0.0614285413128983
"19",-58.5,-3,-0.768797901038446,0.0740022298857411
"20",-58,-11,-0.768392037437052,0.025914553012147
"21",-57,-2.5,-0.658658779907161,0.0757111211211797
"22",-56.5,-22,-0.970480070405923,0.000283034433910934
"23",-56,-22,-0.742566153344791,0.0348407480326134
"24",-56,-2.5,0.999201829003409,0.0254373568824477
"25",-55.5,-30.5,-0.634528396490436,0.0910332401815127
"26",-55.5,-12.5,0.737123672155398,0.0587168529803411
"27",-55,-11.5,0.629830648485919,0.0942079170528278
"28",-55,-11,0.688320968780272,0.0591029842905137
"29",-55,-1.5,0.853834714589095,0.00697600038095809
"30",-54.5,-29,-0.719464708206223,0.0442337517612017
"31",-54.5,-17.5,-0.953666907620068,0.0463330923799318
"32",-54,-30.5,-0.681714453246453,0.062592454660142
"33",-54,-29,0.761791825957332,0.0280422193235854
"34",-54,-25.5,-0.808272359707405,0.027799438979569
"35",-54,-22.5,-0.695760292416343,0.0553155109340089
"36",-53.5,-20.5,-0.630264481028641,0.0939121050846862
"37",-53,-25,-0.692071205267596,0.0571749733158782
"38",-53,-23.5,0.656483069862362,0.0770254017628422
"39",-52.5,-24.5,-0.643486224688748,0.0851533890686881
"40",-52.5,-24,-0.682720257691821,0.0620535158085531
"41",-52.5,-20.5,-0.832502555150121,0.0397334876396129
"42",-52.5,-0.5,-0.919161596598804,0.0808384034011961
"43",-52,-26,0.792565009137181,0.0189868722702301
"44",-52,-17,-0.64862796542084,0.0818809687562965
"45",-52,-14.5,-0.763589715423682,0.0772282695409715
"46",-52,-11.5,0.775749041098001,0.023664026617039
"47",-51.5,-22.5,0.874157918106243,0.0227579123134773
"48",-51.5,-19,-0.66616265868093,0.0712796784734749
"49",-51.5,-18.5,-0.847483321494447,0.00788575829199547
"50",-51.5,0.5,0.948733318894429,0.00111175410905003
"51",-51,-27.5,0.674499690346811,0.0665396665649353
"52",-51,-26.5,0.952559403396082,0.0033225301637526
"53",-51,-24.5,0.713693023708599,0.0716889137490923
"54",-51,-23,-0.733950246963753,0.038184957490006
"55",-51,-22,-0.711302888451131,0.047881635136169
"56",-51,-14,-0.650649043728486,0.0806150816945316
"57",-51,-2.5,0.665254823184626,0.0718074630157504
"58",-51,1.5,0.654018602138927,0.0785301327717578
"59",-50.5,-28.5,0.917587588138362,0.00358085699787879
"60",-50.5,-26,0.979707466083106,2.05738502183717e-05
"61",-50.5,-17,-0.683119369048007,0.0618404271032236
"62",-50.5,-1,0.716930501205206,0.0453477385050961
"63",-50,-19,-0.658461400814203,0.0758298054589409
"64",-50,-16,0.772689934156991,0.0245844484245116
"65",-50,-9.5,0.770260138721547,0.073107724459828
"66",-50,-3,0.7577046636883,0.0294120355976125
"67",-50,-1.5,0.779918149938531,0.0224445034107259
"68",-50,-0.5,-0.786362350948451,0.0206376781851985
"69",-50,0,0.769005993537165,0.0257218885796527
"70",-49.5,-29,-0.646704833910501,0.0830961950430879
"71",-49.5,-28.5,-0.670639721139419,0.0687103303752689
"72",-49.5,-11.5,0.75163521289756,0.0513814545069068
"73",-49,-25,-0.688285355885084,0.059121475878739
"74",-49,-22.5,-0.813159793729061,0.0141065387058189
"75",-49,-12.5,0.80269661528299,0.0164725533291366
"76",-49,-5,-0.70235288901831,0.0784689303446787
"77",-48.5,-20,-0.639477319012417,0.0877566788242856
"78",-48.5,-15.5,0.692821782095888,0.0567936724855216
"79",-48.5,-13,-0.633907978100233,0.0914489116782747
"80",-48.5,-6.5,-0.664011845873403,0.0725338056719742
"81",-48,-23.5,0.642655743445391,0.0856889482845103
"82",-48,-21.5,0.867587319429499,0.00524288808071134
"83",-48,-12.5,-0.873409276407818,0.023023495402322
"84",-48,-10,0.83728711778641,0.00949824173958887
"85",-48,-6.5,0.768284325346579,0.0259484456445819
"86",-48,-2,0.688711447140926,0.0589004588272857
"87",-47.5,-14,0.927895826391647,0.0721041736083532
"88",-47.5,-7.5,-0.737788600100347,0.0583690790421528
"89",-47.5,-3.5,-0.771600881190526,0.024917387653155
"90",-47,-23,-0.649798470086666,0.0811464302718267
"91",-47,-19.5,-0.768224140361721,0.0259673953499779
"92",-47,-19,-0.674098702850949,0.0667632480897714
"93",-47,-18.5,-0.654368287247109,0.078315588239023
"94",-47,-11,-0.655535715774084,0.0776018129799939
"95",-47,-8.5,-0.838132587625131,0.0371810399572069
"96",-46.5,-13.5,-0.733423569820059,0.0383954672197235
"97",-46.5,-1,-0.658516175000833,0.0757968587361238
"98",-46,-22.5,-0.671322770432473,0.068323217321845
"99",-46,-16,-0.893510865101809,0.00278297107916987
"100",-46,-15,-0.897412276605303,0.00249573143612417
"101",-46,-8.5,0.825901997925336,0.0115297368208399
"102",-46,-8,-0.683629123462053,0.0615688981631241
"103",-45.5,-23,0.965768598696564,0.00756359482818757
"104",-45.5,-19,-0.633047486341833,0.0920272409637004
"105",-45.5,-18.5,-0.708031459041614,0.0493929531600908
"106",-45.5,-10,-0.854535223494775,0.00687998822724898
"107",-45.5,-5,-0.674467416546395,0.0665576452955703
"108",-45.5,-4.5,-0.75617949623515,0.0299335351117835
"109",-45.5,-4,-0.683270911796435,0.0617596312557519
"110",-45,-21,-0.758744532699761,0.0290597027344685
"111",-45,-18,0.806641503744333,0.0990520359552729
"112",-45,-16,-0.665086532730697,0.0719055531282506
"113",-45,-15.5,-0.707373420975821,0.0497003696293998
"114",-45,-5,-0.699646352668031,0.0801355121143055
"115",-45,-2,0.802623252094945,0.0164899608779785
"116",-44.5,-23,-0.622396598052517,0.0993603190408397
"117",-44.5,-18.5,-0.772088169412136,0.0247680737392421
"118",-44.5,-18,-0.744575057228528,0.0340877807867093
"119",-44.5,-11,-0.65272272163463,0.0793281962231063
"120",-44.5,-7.5,-0.750847272039862,0.031801300298292
"121",-44.5,-7,-0.868361071497321,0.0248526384204109
"122",-44.5,-3.5,-0.630807337698268,0.0935427095293659
"123",-44,-13.5,0.690756319595534,0.0578466221901079
"124",-44,-7.5,-0.80510316814347,0.0159079020005249
"125",-44,-7,-0.836543801835718,0.00962331922476835
"126",-44,-2.5,0.641194441686405,0.086636048076761
"127",-43.5,-16.5,-0.684508648261178,0.0611020733376023
"128",-43.5,-9,-0.884109231707367,0.00356084804062766
"129",-43.5,-6.5,-0.675029982130179,0.066244668714333
"130",-43.5,-6,0.634668094598854,0.0909397953873127
"131",-43,-18.5,0.683346990339306,0.0617190932200113
"132",-43,-9.5,-0.739437187561529,0.0360336277205482
"133",-43,-5.5,-0.754861053384457,0.0498231658881063
"134",-42.5,-16.5,0.910670561719939,0.0893294382800609
"135",-42.5,-14,-0.746422036223236,0.0334043672454602
"136",-42.5,-8.5,-0.932226055910251,0.0209634603179827
"137",-42.5,-8,-0.965344968564048,0.000421462348001882
"138",-42.5,-7.5,-0.825278447346292,0.0116482649710242
"139",-42,-13.5,-0.670169216782333,0.0689777361953725
"140",-42,-12,-0.858044715574366,0.0134890180845226
"141",-42,-7.5,0.737449371333147,0.0368042316182609
"142",-41.5,-17.5,-0.735275253103375,0.0376584740556553
"143",-41.5,-15.5,-0.774732586503498,0.0239674430388851
"144",-41.5,-14,-0.81167247561819,0.0952881676261265
"145",-41.5,-3,0.787871371284802,0.0202281481324381
"146",-41,-15,0.758768876589612,0.047970578402062
"147",-41,-12,-0.72917863870363,0.0401179406731253
"148",-41,-11.5,-0.694725665674349,0.0558333042621718
"149",-41,-11,-0.720420992250201,0.043817736079177
"150",-41,-10.5,-0.65015012138393,0.080926508747791
"151",-41,-10,-0.727851310719662,0.0406659878153293
"152",-41,-9.5,-0.748143003976589,0.0327751920741214
"153",-40.5,-16.5,0.768075300891092,0.0260142953363705
"154",-40.5,-16,0.702039951645575,0.0522344571496697
"155",-40.5,-14.5,-0.71006889405319,0.0484483889682568
"156",-40.5,-14,-0.686241361827537,0.0601885746980304
"157",-40.5,-13.5,-0.867186068408532,0.00528902625292559
"158",-40.5,-13,-0.940053500160347,0.000514633639977342
"159",-40.5,-12.5,-0.806944533246799,0.015484174444201
"160",-40.5,-11.5,-0.886999230153298,0.0184322977335617
"161",-40.5,-6.5,-0.686591247982024,0.0600051049038151
"162",-40.5,-5.5,-0.760654774444647,0.0284192654978752
"163",-40,-16,-0.663501806572173,0.0728330952450736
"164",-40,-15,-0.640499556919277,0.0870885383622296
"165",-40,-14,-0.76221489237713,0.0463688160645199
"166",-40,-13.5,-0.947218167721748,0.052781832278252
"167",-40,-9,0.640064990890536,0.0873722113065973
"168",-39.5,-10.5,-0.71453509694706,0.0464161384086686
"169",-39.5,-4,-0.671038996452705,0.068483887355415
"170",-39.5,-3.5,-0.63158091754158,0.093017765024064
"171",-39,-15.5,-0.685152261530154,0.0607618005628195
"172",-39,-8.5,-0.862798745632677,0.00581057959854545
"173",-39,-6,-0.75239969775716,0.031250346326257
"174",-39,-5.5,-0.739806881569449,0.0358914072953824
"175",-39,-5,-0.766364659836363,0.0265570877242631
"176",-38.5,-10,-0.899669174453973,0.00233871300080094
"177",-38.5,-9.5,-0.714170708045713,0.0465799808909535
"178",-38.5,-9,-0.765989973546481,0.0266769026727159
"179",-38.5,-7.5,-0.622756396241208,0.099107314396938
"180",-38.5,-6,-0.700885518405596,0.0793701663534015
"181",-38.5,-5.5,-0.943141057435788,0.000440179331824991
"182",-38.5,-5,-0.794065886132204,0.0186002589230855
"183",-38.5,-4.5,-0.65895695734086,0.0755320332236087
"184",-38,-11.5,-0.630264237102862,0.0939122712566201
"185",-38,-10.5,-0.796738553521544,0.0179240592163974
"186",-38,-9.5,-0.771567532004679,0.0249276267668776
"187",-37.5,-11,0.996322438863182,0.00367756113681803
"188",-37.5,-8.5,-0.660829520275254,0.0744130365851738
"189",-37,-10,-0.715329074868249,0.0460603430098626
"190",-36.5,-10,-0.6968359514944,0.0547802378817029
"191",-36.5,-6.5,-0.626385022213441,0.0965763999989102
"192",-36,-9.5,0.895437468261232,0.00263859411387527
"193",-36,-6,-0.80927912093488,0.0149572339244119
"194",-36,-5.5,-0.77885404201568,0.0227519668859552
"195",-35.5,-9,-0.635312075713463,0.0905097502999912
"196",-35.5,-8.5,-0.658005007909435,0.0761046525328407
"197",-35.5,-7,-0.861533625353835,0.0059668524998183
